,Player,Pts Won,Pts Max,Share,Year
641,Stephen Curry,175.0,1010,0.173,2019
642,Damian Lillard,69.0,1010,0.068,2019
643,Joel Embiid,49.0,1010,0.049,2019
644,Kevin Durant,25.0,1010,0.025,2019
645,Kawhi Leonard,13.0,1010,0.013,2019
646,Russell Westbrook,8.0,1010,0.008,2019
647,Rudy Gobert,1.0,1010,0.001,2019
648,LeBron James,1.0,1010,0.001,2019
649,Giannis Antetokounmpo,962.0,1010,0.952,2020
650,LeBron James,753.0,1010,0.746,2020
651,James Harden,367.0,1010,0.363,2020
652,Luka Dončić,200.0,1010,0.198,2020
653,Kawhi Leonard,168.0,1010,0.166,2020
654,Anthony Davis,82.0,1010,0.081,2020
655,Chris Paul,26.0,1010,0.026,2020
656,Damian Lillard,23.0,1010,0.023,2020
657,Nikola Jokić,18.0,1010,0.018,2020
658,Pascal Siakam,17.0,1010,0.017,2020
659,Jimmy Butler,9.0,1010,0.009,2020
660,Jayson Tatum,1.0,1010,0.001,2020
661,Nikola Jokić,971.0,1010,0.961,2021
662,Joel Embiid,586.0,1010,0.58,2021
663,Stephen Curry,453.0,1010,0.449,2021
664,Giannis Antetokounmpo,348.0,1010,0.345,2021
665,Chris Paul,139.0,1010,0.138,2021
666,Luka Dončić,42.0,1010,0.042,2021
667,Damian Lillard,38.0,1010,0.038,2021
668,Julius Randle,20.0,1010,0.02,2021
669,Derrick Rose,10.0,1010,0.01,2021
670,Rudy Gobert,8.0,1010,0.008,2021
671,Russell Westbrook,5.0,1010,0.005,2021
672,Ben Simmons,3.0,1010,0.003,2021
673,James Harden,1.0,1010,0.001,2021
674,LeBron James,1.0,1010,0.001,2021
675,Kawhi Leonard,1.0,1010,0.001,2021
676,Nikola Jokić,875.0,1000,0.875,2022
677,Joel Embiid,706.0,1000,0.706,2022
678,Giannis Antetokounmpo,595.0,1000,0.595,2022
679,Devin Booker,216.0,1000,0.216,2022
680,Luka Dončić,146.0,1000,0.146,2022
681,Jayson Tatum,43.0,1000,0.043,2022
682,Ja Morant,10.0,1000,0.01,2022
683,Stephen Curry,4.0,1000,0.004,2022
684,Chris Paul,2.0,1000,0.002,2022
685,DeMar DeRozan,1.0,1000,0.001,2022
686,Kevin Durant,1.0,1000,0.001,2022
687,LeBron James,1.0,1000,0.001,2022
688,Joel Embiid,915.0,1000,0.915,2023
689,Nikola Jokić,674.0,1000,0.674,2023
690,Giannis Antetokounmpo,606.0,1000,0.606,2023
691,Jayson Tatum,280.0,1000,0.28,2023
692,Shai Gilgeous-Alexander,46.0,1000,0.046,2023
693,Donovan Mitchell,30.0,1000,0.03,2023
694,Domantas Sabonis,27.0,1000,0.027,2023
695,Luka Dončić,10.0,1000,0.01,2023
696,Stephen Curry,5.0,1000,0.005,2023
697,Jimmy Butler,3.0,1000,0.003,2023
698,De'Aaron Fox,2.0,1000,0.002,2023
699,Jalen Brunson,1.0,1000,0.001,2023
700,Ja Morant,1.0,1000,0.001,2023
701,Nikola Jokić,926.0,990,0.935,2024
702,Shai Gilgeous-Alexander,640.0,990,0.646,2024
703,Luka Dončić,566.0,990,0.572,2024
704,Giannis Antetokounmpo,192.0,990,0.194,2024
705,Jalen Brunson,142.0,990,0.143,2024
706,Jayson Tatum,86.0,990,0.087,2024
707,Anthony Edwards,18.0,990,0.018,2024
708,Domantas Sabonis,3.0,990,0.003,2024
709,Kevin Durant,1.0,990,0.001,2024
